id,line_id,sequence,name_zh,name_en,code,marker_color,terminal_type,through_line_ids,notes,is_open,icon
L1-S01,L1,1,熙枫,Xifeng,L1-01,#FFC600,terminal,,依据第七季地铁v2.png录入；英文名依据地名、背景设定及既有译名风格补充，经用户确认,0,住宅.png
L1-S02,L1,3,虚数之构,Real-Imaginary Gateway,L1-02,#FFC600,normal,,依据第七季地铁v2.png录入；英文名依据地名、背景设定及既有译名风格补充，经用户确认,0,虚数之构.png
L1-S03,L1,4,镇北路,Zhenbei Road,L1-03,#FFC600,normal,,依据第七季地铁v2.png录入；英文名依据地名、背景设定及既有译名风格补充，经用户确认,1,酒店.png
L1-S04,L1,5,北地社区,Beidi Community,L1-04,#FFC600,normal,,依据第七季地铁v2.png录入；英文名依据用户提供彩绘图人工核对,1,社区中心.png
L1-S05,L1,6,大众书局,Dazhong Bookstore,L1-05,#FFC600,normal,,依据第七季地铁v2.png录入；英文名依据地名、背景设定及既有译名风格补充，经用户确认,1,书店.png
L1-S06,L1,7,游客集散中心,Tourist Distribution Center,L1-06,#FFC600,normal,,依据第七季地铁v2.png录入；英文名依据用户提供彩绘图人工核对,1,换乘枢纽.png
L1-S07,L1,8,江心屿,Jiangxin Islet,L1-07,#FFC600,normal,,依据第七季地铁v2.png录入；英文名依据用户提供彩绘图人工核对,1,岛屿.png
L1-S08,L1,9,太空电梯,Space Elevator,L1-08,#FFC600,terminal,,依据第七季地铁v2.png录入；英文名依据地名、背景设定及既有译名风格补充，经用户确认,1,太空电梯.png
L2-S01,L2,1,榕树站,Banyan Station,L2-01,#FF00FF,terminal,,依据第七季地铁v2.png录入；英文名依据用户提供彩绘图人工核对,1,森林.png
L2-S02,L2,2,游客集散中心,Tourist Distribution Center,L2-02,#FF00FF,normal,,依据第七季地铁v2.png录入；英文名依据用户提供彩绘图人工核对,1,换乘枢纽.png
L2-S03,L2,3,冬椿路,Dongchun Road,L2-03,#FF00FF,normal,,依据第七季地铁v2.png录入；英文名依据用户提供彩绘图人工核对,1,酒店.png
L2-S04,L2,4,实验小学,Experimental Primary School,L2-04,#FF00FF,normal,,依据第七季地铁v2.png录入；英文名依据用户提供彩绘图人工核对,1,学校.png
L2-S05,L2,5,圣灵博物园,Living Territory Museum,L2-05,#FF00FF,normal,,依据第七季地铁v2.png录入；英文名依据用户提供彩绘图人工核对,1,植物园2.png
L2-S06,L2,6,盈水大剧院,Yingshui Grand Theater,L2-06,#FF00FF,normal,,依据第七季地铁v2.png录入；英文名依据用户提供彩绘图人工核对,1,大剧院.png
L2-S07,L2,7,盈水步行街,Yingshui Pedestrian Street,L2-07,#FF00FF,normal,,依据第七季地铁v2.png录入；英文名依据用户提供彩绘图人工核对,1,商业广场.png
L2-S08,L2,8,解放路,Jiefang Road,L2-08,#FF00FF,normal,,依据第七季地铁v2.png录入；英文名依据用户提供彩绘图人工核对,1,东方明珠.png
L2-S09,L2,9,虚空东站,Void City East Railway Station,L2-09,#FF00FF,terminal,,依据第七季地铁v2.png录入；英文名依据用户提供彩绘图人工核对,1,火车站-高铁.png
L3-S01,L3,1,江心屿,Jiangxin Islet,L3-01,#FF3C00,terminal,,依据第七季地铁v2.png录入；英文名依据用户提供彩绘图人工核对,1,岛屿.png
L3-S02,L3,2,冬椿路,Dongchun Road,L3-02,#FF3C00,normal,,依据第七季地铁v2.png录入；英文名依据用户提供彩绘图人工核对,1,酒店.png
L3-S03,L3,3,狮山乐园,Shishan Paradise,L3-03,#FF3C00,normal,,依据第七季地铁v2.png录入；英文名依据用户提供彩绘图人工核对,1,游乐园.png
L3-S04,L3,4,椿风巷,Chunfeng Lane,L3-04,#FF3C00,normal,,依据第七季地铁v2.png录入；英文名依据用户提供彩绘图人工核对；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,古镇.png
L3-S05,L3,5,天鲸博物馆,Sky Whale Museum,L3-05,#FF3C00,normal,,依据第七季地铁v2.png录入；英文名依据用户提供彩绘图人工核对,1,博物馆.png
L3-S06,L3,6,桃花坞,Taohuawu,L3-06,#FF3C00,normal,,依据第七季地铁v2.png录入；英文名依据用户提供彩绘图人工核对,1,水乡.png
L3-S07,L3,7,冬椿山,Dongchun Mountain,L3-07,#FF3C00,terminal,,依据第七季地铁v2.png录入；英文名依据用户提供彩绘图人工核对,1,山.png
L4-S01,L4,1,客运中心,Coach Station,L4-01,#00A8FF,terminal,,英文名依据地名、背景设定及既有译名风格补充，经用户确认,1,客运中心.png
L4-S02,L4,2,天鲸博物馆,Sky Whale Museum,L4-02,#00A8FF,normal,,英文名依据用户提供彩绘图人工核对,1,博物馆.png
L4-S03,L4,3,冬椿古镇,Dongchun Ancient Town,L4-03,#00A8FF,normal,,,1,古镇.png
L4-S04,L4,4,虚空站,VoidCity Railway Station,L4-04,#00A8FF,normal,,,1,火车站-城市.png
L4-S05,L4,5,虚空站北广场,VoidCity Railway Station North Square,L4-05,#00A8FF,normal,,,1,商业广场.png
L4-S06,L4,6,圣灵博物园,Living Territory Museum,L4-06,#00A8FF,normal,,英文名依据用户提供彩绘图人工核对,1,植物园2.png
L4-S07,L4,7,附一医,First Affiliated People's Hospital,L4-07,#00A8FF,normal,,英文名依据用户提供彩绘图人工核对,1,医院.png
L4-S08,L4,8,体育中心,Olympic Sports Center,L4-08,#00A8FF,normal,,英文名依据用户提供彩绘图人工核对,1,体育馆.png
L4-S09,L4,9,淼海路,Miaohai Road,L4-09,#00A8FF,normal,,,1,东方明珠.png
L4-S10,L4,10,虚空东站,Void City East Railway Station,L4-10,#00A8FF,terminal,,英文名依据用户提供彩绘图人工核对,1,火车站-高铁.png
L5-S01,L5,1,南枫,Nanfeng,L5-01,#0000FF,terminal,,依据第七季地铁v2.png录入；英文名依据地名、背景设定及既有译名风格补充，经用户确认,0,大学.png
L5-S02,L5,2,生态公园,Ecological Park,L5-02,#0000FF,normal,,依据第七季地铁v2.png录入；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,公园.png
L5-S03,L5,3,生态研究中心,Ecological Center,L5-03,#0000FF,normal,,依据第七季地铁v2.png录入；英文名依据用户提供彩绘图人工核对,1,植物园.png
L5-S04,L5,4,客运中心,Coach Station,L5-04,#0000FF,normal,,依据第七季地铁v2.png录入；英文名依据地名、背景设定及既有译名风格补充，经用户确认,1,客运中心.png
L5-S05,L5,5,林园镇,Linyuan Town,L5-05,#0000FF,normal,,依据第七季地铁v2.png录入；英文名依据地名、背景设定及既有译名风格补充，经用户确认,1,社区中心.png
L5-S06,L5,6,消防站,Fire Station,L5-06,#0000FF,normal,,依据第七季地铁v2.png录入；英文名依据地名、背景设定及既有译名风格补充，经用户确认,1,消防局.png
L5-S07,L5,8,实验小学,Experimental Primary School,L5-07,#0000FF,terminal,,依据第七季地铁v2.png录入；英文名依据用户提供彩绘图人工核对,1,学校.png
L6-S01,L6,1,枫桦,Fenghua,L6-01,#DF0024,terminal,,依据第七季地铁v2.png录入；英文名依据地名、背景设定及既有译名风格补充，经用户确认,1,大学.png
L6-S02,L6,2,布丁岛,Pudding Island,L6-02,#DF0024,normal,,依据第七季地铁v2.png录入；英文名依据地名、背景设定及既有译名风格补充，经用户确认,1,岛屿.png
L6-S03,L6,3,风车站,Windmill Station,L6-03,#DF0024,normal,,依据第七季地铁v2.png录入；英文名依据用户提供彩绘图人工核对,1,公园.png
L6-S04,L6,4,会展中心,Convention Center,L6-04,#DF0024,normal,,依据第七季地铁v2.png录入；英文名依据用户提供彩绘图人工核对,1,会展中心.png
L6-S05,L6,5,狮山乐园,Shishan Paradise,L6-05,#DF0024,normal,,依据第七季地铁v2.png录入；英文名依据用户提供彩绘图人工核对,1,游乐园.png
L6-S06,L6,6,虚空站,VoidCity Railway Station,L6-06,#DF0024,normal,,依据第七季地铁v2.png录入；英文名依据地名、背景设定及既有译名风格补充，经用户确认,1,火车站-城市.png
L6-S07,L6,7,雅诗朗格,Estate Langer Residential Area,L6-07,#DF0024,normal,,依据第七季地铁v2.png录入；英文名依据用户提供彩绘图人工核对,1,住宅.png
L6-S08,L6,8,盈水大学,Yingshui University,L6-08,#DF0024,normal,,依据第七季地铁v2.png录入；英文名依据用户提供彩绘图人工核对；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,大学.png
L6-S09,L6,9,产业园,industrial park,L6-09,#DF0024,normal,,依据第七季地铁v2.png录入；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,科技园.png
L6-S10,L6,11,淼海路,Miaohai Road,L6-10,#DF0024,terminal,,依据第七季地铁v2.png录入；英文名依据地名、背景设定及既有译名风格补充，经用户确认,1,法院.png
L7-S01,L7,1,曦和洲,Xihe Isle,L7-01,#8E8E8E,terminal,,依据第七季地铁v2.png录入；英文名依据地名、背景设定及既有译名风格补充，经用户确认,1,公园.png
L7-S02,L7,2,盈水大学,Yingshui University,L7-02,#8E8E8E,normal,,依据第七季地铁v2.png录入；英文名依据用户提供彩绘图人工核对；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,大学.png
L7-S03,L7,3,东陂,Dongbei,L7-03,#8E8E8E,normal,,依据第七季地铁v2.png录入；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,湖泊.png
L7-S04,L7,4,学生公寓,Student Apartment,L7-04,#8E8E8E,normal,,依据第七季地铁v2.png录入；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,住宅.png
L7-S05,L7,5,商务中心,Business Centre,L7-05,#8E8E8E,normal,,依据第七季地铁v2.png录入；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,商业广场.png
L7-S06,L7,6,古塘,Elderglen Village,L7-06,#8E8E8E,normal,,依据第七季地铁v2.png录入；英文名依据站点名称牌PSD文字图层及PNG人工核对,0,梯田.png
L7-S07,L7,7,星莹窑洞,Starry Glow Cavern,L7-07,#8E8E8E,normal,,依据第七季地铁v2.png录入；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,洞穴.png
L7-S08,L7,8,桃源,Idyllic Peach Land,L7-08,#8E8E8E,normal,,依据第七季地铁v2.png录入；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,水乡.png
L7-S09,L7,9,绯霞径,Blossom Path,L7-09,#8E8E8E,normal,,依据第七季地铁v2.png录入；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,河流-城市.png
L7-S10,L7,10,椿江机场,Chun jiang Airport,L7-10,#8E8E8E,normal,,依据第七季地铁v2.png录入；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,机场.png
L7-S11,L7,11,博园大学城,Boyuan University Town,L7-11,#8E8E8E,terminal,,规划延长段（短期不安装）；英文名依据地名、背景设定及既有译名风格补充，经用户确认,0,大学.png
L8-S01,L8,2,虚数之构,Real-Imaginary Gateway,L8-01,#1B9D06,terminal,,依据第七季地铁v2.png录入；英文名依据地名、背景设定及既有译名风格补充，经用户确认,0,虚数之构.png
L8-S02,L8,3,盈大博园,Yingshui University Boyuan Campus,L8-02,#1B9D06,normal,,依据第七季地铁v2.png录入；英文名依据地名、背景设定及既有译名风格补充，经用户确认,0,大学.png
L8-S03,L8,4,枫桦,Fenghua,L8-03,#1B9D06,normal,,依据第七季地铁v2.png录入；英文名依据地名、背景设定及既有译名风格补充，经用户确认,0,大学.png
L8-S04,L8,5,林园西站,Linyuan West Railway Station,L8-04,#1B9D06,normal,,依据第七季地铁v2.png录入；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,火车站-小站.png
L8-S05,L8,6,柠枫路,Ningfeng Road,L8-05,#1B9D06,normal,,依据第七季地铁v2.png录入；英文名依据用户提供彩绘图人工核对,1,工厂.png
L8-S06,L8,7,林园坊,Linyuanfang,L8-06,#1B9D06,normal,,依据第七季地铁v2.png录入；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,商店2.png
L8-S07,L8,8,客运中心,Coach Station,L8-07,#1B9D06,terminal,,依据第七季地铁v2.png录入；英文名依据地名、背景设定及既有译名风格补充，经用户确认,1,客运中心.png
L9-S01,L9,1,椿江火车站,Chun jiang Railway Station,L9-01,#7E00FF,terminal,,依据第七季地铁v2.png录入；英文名依据地名、背景设定及既有译名风格补充，经用户确认,0,火车站-城市.png
L9-S02,L9,2,椿江机场,Chun jiang Airport,L9-02,#7E00FF,normal,,依据第七季地铁v2.png录入；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,机场.png
L9-S03,L9,3,生态公园,Ecological Park,L9-03,#7E00FF,normal,,依据第七季地铁v2.png录入；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,公园.png
L9-S04,L9,4,林园西站,Linyuan West Railway Station,L9-04,#7E00FF,normal,,依据第七季地铁v2.png录入；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,火车站-小站.png
L9-S05,L9,5,林园坊,Linyuanfang,L9-05,#7E00FF,normal,,依据第七季地铁v2.png录入；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,商店2.png
L9-S06,L9,6,椿风巷,Chunfeng Lane,L9-06,#7E00FF,normal,,依据第七季地铁v2.png录入；英文名依据用户提供彩绘图人工核对；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,古镇.png
L9-S07,L9,7,冬椿古镇,Dongchun Ancient Town,L9-07,#7E00FF,normal,,依据第七季地铁v2.png录入；英文名依据地名、背景设定及既有译名风格补充，经用户确认,1,古镇.png
L9-S08,L9,8,冬椿山北,DongChun Mountain North,L9-08,#7E00FF,normal,,依据第七季地铁v2.png录入；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,山.png
L9-S09,L9,9,商务中心,Business Centre,L9-09,#7E00FF,normal,,依据第七季地铁v2.png录入；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,商业广场.png
L9-S10,L9,10,倾田,Qingtian,L9-10,#7E00FF,terminal,,依据第七季地铁v2.png录入；英文名依据地名、背景设定及既有译名风格补充，经用户确认,0,水塘.png
L10-S01,L10,1,枫叶站,Maple Leaf Town Railway Station,L10-01,#00F0FF,terminal,,依据第七季地铁v2.png录入；英文名依据地名、背景设定及既有译名风格补充，经用户确认,0,火车站-城市.png
L10-S02,L10,2,虚数之构,Real-Imaginary Gateway,L10-02,#00F0FF,normal,,依据第七季地铁v2.png录入；英文名依据地名、背景设定及既有译名风格补充，经用户确认,0,虚数之构.png
L10-S03,L10,3,布丁岛机库,Pudding Parking Lot,L10-03,#00F0FF,normal,,依据第七季地铁v2.png录入；英文名依据用户提供彩绘图人工核对,0,火车站-小站.png
L10-S04,L10,4,游客集散中心,Tourist Distribution Center,L10-04,#00F0FF,normal,,依据第七季地铁v2.png录入；英文名依据用户提供彩绘图人工核对,0,换乘枢纽.png
L10-S05,L10,5,狮山乐园,Shishan Paradise,L10-05,#00F0FF,normal,,依据第七季地铁v2.png录入；英文名依据用户提供彩绘图人工核对,1,游乐园.png
L10-S06,L10,6,虚空站北广场,VoidCity Railway Station North Square,L10-06,#00F0FF,normal,,英文名待补；依据第七季地铁v2.png录入,1,商业广场.png
L10-S07,L10,8,虚空东站,Void City East Railway Station,L10-07,#00F0FF,terminal,,依据第七季地铁v2.png录入；英文名依据用户提供彩绘图人工核对,1,火车站-高铁.png
R1-S01,R1,1,商务中心,Business Centre,R1-01,#481E1C,through-start,L7|L9,依据79环线示意图.vsdx录入；英文名依据站点名称牌PSD文字图层及PNG人工核对,1,商业广场.png
R1-S02,R1,2,古塘,Elderglen Village,R1-02,#481E1C,normal,L7,依据79环线示意图.vsdx录入；英文名依据站点名称牌PSD文字图层及PNG人工核对,0,梯田.png
